,ticker,month,mean_transactions,median_transactions,sd_transactions,mean_low,median_low,sd_low,mean_high,median_high,sd_high,mean_close,median_close,sd_close
486,WWW,July,2432320,2358000,303117.5244,34.11399994,33.97999954,0.730740859,36.14599991,36.77000046,1.140712159,35.00400009,35.18000031,0.963049639
487,WWW,August,2921825,2556300,1147572.136,37.07999992,37.3599987,0.909724419,38.63999939,38.68499947,0.49340715,38.36000061,38.36000061,0.58600309
488,WWW,September,2049150,2136550,302185.8575,38.26500035,38.24500084,0.101612079,39.56000042,39.54500008,0.144048126,38.81749916,38.91499901,0.252920326
489,WWW,October,2697260,2755100,438512.543,33.87799988,33.72999954,0.822031774,36.83000031,36.58000183,1.305740508,34.82000046,34.81000137,1.288224595
490,WWW,November,4015875,4066950,512467.3764,31.98250008,31.76500034,0.556658414,35.09250069,34.63000107,1.063588276,33.67000008,33.45000077,0.580430157
491,WWW,December,2651520,2545500,1544500.004,31.55800018,31.48999977,0.925708662,33.56399994,32.95999908,1.150888329,32.10000038,32.40000153,0.774777947
492,DDS,January,3005920,2786900,860452.4215,62.45999908,63.59999847,4.673497892,69.31200027,71.01999664,3.783513052,66.26000061,69.11000061,4.61615976
493,DDS,February,4190050,3217900,2117963.051,64.5074997,64.51499939,4.30933507,74.46500206,71.55000305,8.400040544,73.36000061,70.54999924,8.821581532
494,DDS,March,2599625,2694400,448895.7639,79.3824997,79.18999863,2.694589702,84.51749993,84.42000199,2.744042319,81.56499863,80.53499985,2.339983681
495,DDS,April,2240000,2254300,478372.0101,73.37600097,72.16000366,1.892706904,80.13399811,79.20999908,2.316122415,75.90800019,76.43000031,2.717105255
496,DDS,May,3242850,3111500,1103286.94,72.01999855,71.88999939,4.207153625,79.83499718,81.12999725,4.626751335,77.39500046,77.85499955,4.35485015
497,DDS,June,2545100,2561750,423037.0847,88.03499985,88.59499741,2.888031935,97.39999962,98.20999908,1.732093827,93.45499802,94.16999817,1.515083153
498,DDS,July,1604680,1606800,213159.2306,82.98399963,83.08999634,4.070251631,88.36199798,86.62999725,4.366534713,84.37599945,84.51999664,3.870776227
499,DDS,August,3914825,2876900,2477676.59,74.24499893,73.61999893,3.637015854,85.14999962,83.81499863,6.457076591,78.5075016,76.81500244,4.502290623
500,DDS,September,2178100,2210250,389318.8732,74.42250061,74.47499848,1.264563438,79.91500092,79.91500092,0.371650283,76.31750107,76.88999939,1.744739844
501,DDS,October,2078660,1862400,380690.4706,69.27799988,68.62999725,1.88681296,75.40400085,74.66000366,2.596826679,71.97600098,72.87000275,2.101214117
502,DDS,November,4436300,3695100,1805723.647,64.6724987,63.31499863,4.96152775,74.53250122,75.30000305,5.683346344,69.625,67.1949997,6.033361119
503,DDS,December,1646300,2080500,727930.9308,59.25199966,59.5,2.804506635,64.31800003,62.43999863,3.939824454,60.37799988,60.31000137,2.213363289
504,OXM,January,603920,629200,113280.173,78.24199982,77.26999664,2.194388302,83.2300003,84.06999969,1.423206628,81.86599884,82.27999878,1.96562005
505,OXM,February,454200,435500,79332.84314,76.81000137,77.22500229,1.381466761,81.93999863,81.89500046,1.180953554,80.02000046,80.16500092,1.577923428
506,OXM,March,612150,541800,163393.092,77.04500198,77.65000153,3.299473323,81.98500061,81.90999985,1.293571128,78.37249947,78.4449997,3.018373021
507,OXM,April,594380,567000,233278.7466,74.01000061,73.66999817,1.363303873,78.79000092,78.75,0.482782461,76.50599976,76.25,0.820405846
508,OXM,May,552825,542100,76212.34726,78.1950016,77.73000336,2.213398148,82.43000031,82.36500168,1.979483051,81.28000069,80.67000199,2.608850154
509,OXM,June,1263050,953400,611365.9195,82.64749908,82.16999817,1.646015275,89.51749993,89.71500016,3.94345987,85.34750176,83.61000061,3.385627166
510,OXM,July,632020,641800,177015.6535,86.81799927,86.63999939,3.64002826,91.26600037,93.16999817,4.318729736,89.75,91.29000092,3.053764854
511,OXM,August,426400,435600,32792.83458,91.85500145,91.76000214,0.859461012,95.68500137,95.95500183,0.71730264,93.76999855,93.59999847,0.65524929
512,OXM,September,677300,595100,341281.9436,86.84999847,86.95499802,1.415573321,92.32999992,92.36000061,0.772109405,89.60749817,89.58499908,0.403693598
